Rk,Player,Age,Team,Pos,G,GS,MP,FG,FGA,FG%,3P,3PA,3P%,2P,2PA,2P%,eFG%,FT,FTA,FT%,ORB,DRB,TRB,AST,STL,BLK,TOV,PF,PTS,Awards
382.0,Jordan Walsh,20.0,BOS,SF,8.0,0.0,10.5,0.5,1.9,0.267,0.3,1.5,0.167,0.3,0.4,0.667,0.333,0.0,0.1,0.0,0.3,1.0,1.3,0.1,0.4,0.3,0.3,0.5,1.3,
383.0,Brandon Williams,25.0,DAL,PG,3.0,0.0,4.3,0.3,1.7,0.2,0.0,0.7,0.0,0.3,1.0,0.333,0.2,0.7,1.0,0.667,0.3,0.7,1.0,0.7,0.0,0.0,0.3,0.7,1.3,
384.0,Charles Bassey,24.0,SAS,C,5.0,0.0,3.2,0.4,0.4,1.0,0.0,0.0,,0.4,0.4,1.0,1.0,0.4,0.4,1.0,0.0,1.4,1.4,0.2,0.2,0.2,0.4,0.0,1.2,
385.0,Olivier-Maxence Prosper,22.0,DAL,PF,5.0,0.0,6.4,0.6,2.0,0.3,0.0,0.4,0.0,0.6,1.6,0.375,0.3,0.0,0.0,,0.6,0.0,0.6,0.0,0.0,0.0,0.2,1.0,1.2,
386.0,Duop Reath,28.0,POR,C,5.0,0.0,3.2,0.4,1.2,0.333,0.4,0.8,0.5,0.0,0.4,0.0,0.5,0.0,0.0,,0.2,0.2,0.4,0.4,0.0,0.2,0.2,0.0,1.2,
387.0,Tyler Smith,20.0,MIL,PF,6.0,0.0,3.0,0.5,1.0,0.5,0.2,0.7,0.25,0.3,0.3,1.0,0.583,0.0,0.0,,0.2,0.3,0.5,0.0,0.0,0.0,0.2,0.5,1.2,
388.0,Jericho Sims,26.0,NYK,C,7.0,0.0,13.4,0.6,0.9,0.667,0.0,0.0,,0.6,0.9,0.667,0.667,0.0,0.3,0.0,1.3,2.6,3.9,0.3,0.1,0.4,0.6,1.6,1.1,
389.0,Trey Alexander,21.0,DEN,SG,2.0,0.0,3.0,0.5,1.5,0.333,0.0,0.5,0.0,0.5,1.0,0.5,0.333,0.0,0.0,,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,1.0,
390.0,Reece Beekman,23.0,GSW,PG,2.0,0.0,2.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.5,0.0,0.5,0.5,0.5,0.0,0.0,0.5,1.0,
391.0,Kobe Brown,25.0,LAC,PF,2.0,0.0,4.0,0.5,0.5,1.0,0.0,0.0,,0.5,0.5,1.0,1.0,0.0,0.0,,0.0,0.5,0.5,0.5,0.0,0.0,0.0,0.0,1.0,
392.0,Sidy Cissoko,20.0,SAS,SF,5.0,0.0,2.6,0.4,0.6,0.667,0.2,0.2,1.0,0.2,0.4,0.5,0.833,0.0,0.0,,0.2,0.6,0.8,0.8,0.0,0.0,0.2,0.6,1.0,
393.0,JD Davison,22.0,BOS,PG,3.0,0.0,4.7,0.3,1.3,0.25,0.0,0.7,0.0,0.3,0.7,0.5,0.25,0.3,0.7,0.5,0.0,0.3,0.3,0.3,0.3,0.0,1.3,0.3,1.0,
